Sampler:TPESampler
(88, 10, 26, 0, 72, 45, 79, 46, 36), 18.0
(14, 66, 3, 51, 9, 82, 54, 62, 1), None
(18, 68, 76, 3, 52, 72, 1, 85, 31), None
(76, 37, 17, 12, 96, 17, 17, 5, 6), None
(5, 27, 24, 78, 22, 62, 95, 73, 54), None
(12, 37, 8, 32, 59, 91, 63, 46, 18), 17.0
(60, 93, 63, 70, 33, 97, 1, 22, 23), None
(20, 67, 38, 88, 59, 74, 32, 0, 85), 16.0
(48, 87, 41, 79, 24, 15, 64, 82, 13), 16.0
(25, 44, 78, 45, 3, 79, 64, 27, 18), None
(99, 3, 99, 24, 85, 39, 95, 44, 53), None
(43, 8, 1, 33, 72, 43, 80, 49, 36), None
(97, 20, 23, 0, 69, 32, 78, 39, 41), None
(70, 20, 19, 23, 44, 54, 39, 63, 75), 15.0
(36, 55, 34, 49, 74, 99, 76, 30, 61), None
(83, 35, 9, 17, 59, 0, 50, 55, 29), 17.0
(0, 14, 57, 36, 88, 57, 66, 94, 43), None
(86, 1, 33, 13, 42, 3, 43, 61, 29), None
(85, 29, 13, 12, 64, 20, 21, 14, 65), 17.0
(69, 55, 52, 63, 82, 1, 85, 57, 96), None
(56, 13, 29, 19, 99, 28, 50, 35, 48), None
(86, 29, 10, 7, 62, 13, 24, 13, 66), None
(91, 45, 12, 33, 66, 46, 60, 17, 66), None
(30, 26, 15, 28, 51, 30, 12, 44, 78), None
(75, 38, 45, 7, 78, 89, 74, 10, 12), None
(60, 19, 1, 42, 56, 63, 89, 70, 59), 16.0
(83, 33, 26, 18, 43, 9, 32, 55, 28), 17.0
(80, 10, 9, 12, 66, 24, 44, 36, 40), 17.0
(91, 50, 18, 16, 74, 19, 26, 21, 48), 16.0
(67, 30, 29, 56, 41, 11, 33, 71, 2), 15.0
(80, 9, 27, 0, 18, 38, 43, 36, 37), 13.0
(94, 16, 4, 8, 33, 21, 16, 54, 42), None
