Sampler:TPESampler
(40, 57, 7, 11, 35, 69, 39, 22, 51), 19.0
(63, 85, 18, 69, 11, 37, 45, 91, 56), 18.0
(91, 50, 21, 70, 0, 22, 59, 97, 98), 14.0
(49, 69, 27, 49, 52, 89, 39, 30, 31), None
(87, 64, 19, 48, 29, 76, 11, 66, 43), 16.0
(71, 16, 2, 31, 69, 58, 58, 46, 45), None
(61, 93, 39, 38, 73, 60, 23, 90, 74), 20.0
(35, 93, 15, 69, 3, 94, 92, 20, 29), 16.0
(4, 48, 38, 85, 0, 21, 54, 81, 58), 18.0
(69, 88, 31, 88, 85, 67, 77, 46, 56), None
(19, 20, 72, 8, 94, 3, 4, 2, 85), 17.0
(43, 38, 61, 1, 40, 46, 25, 64, 75), 20.0
(27, 31, 63, 30, 61, 43, 22, 64, 76), 17.0
(55, 3, 95, 0, 71, 50, 22, 75, 9), 15.0
(81, 36, 50, 27, 38, 33, 23, 62, 76), 18.0
(47, 77, 49, 21, 22, 53, 29, 88, 71), 17.0
(17, 99, 78, 37, 49, 82, 2, 76, 97), 19.0
(58, 39, 51, 99, 76, 62, 15, 53, 68), 17.0
(78, 21, 64, 16, 49, 25, 34, 99, 87), 18.0
(40, 74, 90, 41, 60, 3, 67, 84, 65), 18.0
(1, 46, 41, 60, 93, 41, 10, 55, 82), None
(39, 56, 9, 2, 36, 72, 43, 30, 35), 16.0
(28, 57, 59, 13, 38, 61, 31, 4, 10), 16.0
(20, 97, 72, 38, 49, 84, 1, 74, 97), None
(9, 99, 83, 57, 60, 79, 0, 71, 91), 16.0
(45, 31, 3, 8, 20, 68, 33, 37, 62), 19.0
(57, 61, 39, 21, 31, 47, 50, 21, 19), None
(31, 4, 29, 8, 82, 99, 18, 18, 76), None
(98, 82, 58, 22, 44, 55, 39, 10, 47), 21.0
(69, 82, 56, 22, 43, 56, 40, 13, 48), None
(97, 78, 44, 16, 24, 31, 26, 36, 52), 16.0
(61, 89, 66, 6, 41, 66, 45, 13, 38), None
(40, 68, 70, 25, 16, 46, 36, 9, 23), 14.0
(97, 84, 79, 13, 55, 38, 49, 91, 61), 19.0
(52, 44, 56, 45, 30, 53, 38, 28, 52), None
(86, 72, 13, 36, 10, 75, 65, 59, 41), 18.0
(76, 54, 24, 31, 44, 61, 12, 43, 70), 18.0
(66, 66, 35, 56, 67, 71, 27, 0, 48), None
(46, 88, 46, 0, 33, 55, 18, 94, 29), None
(51, 93, 21, 16, 56, 88, 57, 36, 80), 16.0
(33, 52, 34, 5, 28, 14, 50, 23, 56), 20.0
(93, 83, 79, 13, 54, 13, 49, 90, 61), None
(35, 41, 30, 4, 26, 12, 41, 23, 55), None
(23, 31, 0, 10, 15, 64, 65, 8, 44), 17.0
(34, 62, 34, 19, 44, 26, 54, 17, 56), None
(46, 24, 6, 4, 19, 69, 34, 38, 65), 20.0
(13, 10, 56, 4, 6, 16, 25, 27, 72), 17.0
