Sampler:TPESampler
(49, 97, 22, 22, 31, 77, 31, 61, 18), None
(1, 87, 97, 48, 94, 6, 71, 3, 92), None
(43, 15, 28, 42, 13, 48, 0, 29, 39), 17.0
(79, 12, 4, 58, 37, 40, 30, 26, 45), None
(31, 20, 81, 37, 53, 18, 74, 69, 24), 16.0
(56, 6, 42, 18, 1, 69, 9, 47, 71), None
(20, 7, 29, 44, 94, 60, 35, 2, 21), None
(52, 3, 41, 43, 31, 70, 31, 6, 55), None
(30, 38, 13, 7, 12, 60, 80, 6, 18), None
(34, 31, 20, 79, 98, 1, 66, 37, 30), None
(85, 64, 78, 94, 70, 25, 99, 96, 3), None
(14, 26, 67, 30, 59, 95, 8, 76, 43), 16.0
(7, 31, 68, 26, 63, 93, 56, 77, 60), None
(19, 57, 65, 65, 59, 98, 91, 72, 73), None
(16, 42, 93, 1, 76, 21, 49, 96, 0), None
(70, 23, 58, 31, 48, 32, 13, 80, 34), 17.0
(30, 70, 84, 69, 81, 14, 48, 61, 26), 18.0
(98, 48, 76, 33, 48, 86, 81, 63, 49), None
(8, 22, 54, 12, 56, 39, 63, 80, 9), 21.0
(38, 22, 88, 36, 38, 53, 18, 87, 64), None
(23, 35, 69, 62, 82, 84, 44, 54, 95), 15.0
(24, 35, 69, 58, 81, 85, 41, 49, 89), 15.0
(22, 39, 77, 56, 80, 82, 45, 49, 99), None
(12, 52, 68, 74, 86, 89, 22, 37, 85), 16.0
(2, 32, 46, 85, 69, 97, 40, 54, 85), None
(25, 15, 85, 57, 90, 76, 57, 66, 80), None
(10, 58, 59, 74, 86, 86, 22, 40, 98), None
(39, 76, 71, 83, 69, 68, 23, 18, 87), 20.0
(64, 48, 54, 65, 75, 60, 73, 56, 66), 18.0
(48, 29, 62, 53, 64, 77, 3, 44, 75), None
(27, 36, 91, 99, 43, 49, 57, 55, 92), None
(14, 54, 71, 62, 85, 92, 40, 28, 82), 16.0
(4, 56, 72, 63, 85, 89, 39, 32, 82), None
(36, 44, 97, 50, 77, 76, 41, 18, 93), None
(46, 97, 81, 39, 97, 81, 52, 67, 78), None
(22, 15, 75, 49, 91, 10, 30, 21, 94), 13.0
(17, 11, 53, 46, 92, 98, 30, 15, 41), None
(25, 0, 61, 73, 89, 12, 24, 22, 91), 16.0
(41, 16, 33, 72, 91, 13, 34, 11, 92), 16.0
(42, 16, 37, 50, 98, 8, 36, 10, 96), None
(22, 26, 47, 24, 24, 71, 7, 73, 55), None
(15, 34, 71, 64, 83, 82, 45, 28, 87), 15.0
(32, 19, 80, 41, 73, 2, 44, 44, 89), None
(54, 9, 74, 59, 82, 21, 28, 32, 99), None
(30, 36, 84, 53, 16, 31, 63, 26, 69), 14.0
